Your shipping confirmation is below. Thank you again for your business.,Konfirmasi pengiriman kamu terlampir. Terima kasih telah berbelanja dengan kami.,theme,frontend/Magento/luma,,,,
All,Semua,module,Magento_AdminGws,,,,
Allowed Scopes,Allowed Scopes,module,Magento_AdminGws,,,,
Custom,Custom,module,Magento_AdminGws,,,,
Incorrect store ID: %1,Incorrect store ID: %1,module,Magento_AdminGws,,,,
Incorrect website ID: %1,Incorrect website ID: %1,module,Magento_AdminGws,,,,
None,None,module,Magento_AdminGws,,,,
Please assign this entity to a store view.,Please assign this entity to a store view.,module,Magento_AdminGws,,,,
Please assign this item to a store view.,Please assign this item to a store view.,module,Magento_AdminGws,,,,
Please specify at least one website or one store group.,Please specify at least one website or one store group.,module,Magento_AdminGws,,,,
Role Scopes,Role Scopes,module,Magento_AdminGws,,,,
You can create orders only in an active store.,Hanya dapat dipesan di store aktif,module,Magento_AdminGws,,,,
"You need more permissions to access website ""%1"".","Anda membutuhkan izin untuk mengakses website ""%1"".",module,Magento_AdminGws,,,,
You need more permissions to apply some of the rule updates.,Anda membutuhkan izin untuk menerapkan beberapa pembaruan aturan.,module,Magento_AdminGws,,,,
You need more permissions to delete this item(s): %1.,Anda membutuhkan izin utuk menghapus item ini (s): %1.,module,Magento_AdminGws,,,,
You need more permissions to delete this item.,Anda membutuhkan izin utuk menghapus item ini,module,Magento_AdminGws,,,,
You need more permissions to save this item.,Anda membutuhkan izin untuk menyimpan item ini,module,Magento_AdminGws,,,,
You need more permissions to save this setting.,Anda membutuhkan izin untuk menyimpan pengaturan ini,module,Magento_AdminGws,,,,
You need more permissions to set All Scopes to a Role.,You need more permissions to set All Scopes to a Role.,module,Magento_AdminGws,,,,
You need more permissions to view this item.,Anda membutuhkan izin untuk melihat item ini,module,Magento_AdminGws,,,,
"{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. We highly recommend changing this value in your Magento <a href=""%1"">configuration</a>.","{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. We highly recommend changing this value in your Magento <a href=""%1"">configuration</a>.",module,Magento_AdminNotification,,,,
1 Hour,1 Jam,module,Magento_AdminNotification,,,,
12 Hours,12 Jam,module,Magento_AdminNotification,,,,
2 Hours,2 Jam,module,Magento_AdminNotification,,,,
24 Hours,24 Jam,module,Magento_AdminNotification,,,,
6 Hours,6 Jam,module,Magento_AdminNotification,,,,
A total of %1 record(s) have been marked as Read.,Total dari %1 record(s) sudah ditandai ,module,Magento_AdminNotification,,,,
Actions,Tindakan,module,Magento_AdminNotification,,,,
Are you sure?,Apakah kamu yakin?,module,Magento_AdminNotification,,,,
close,close,module,Magento_AdminNotification,,,,
Close,Close,module,Magento_AdminNotification,,,,
critical,critical,module,Magento_AdminNotification,,,,
Critical System Messages,Critical System Messages,module,Magento_AdminNotification,,,,
Date Added,Tanggal ditambahkan,module,Magento_AdminNotification,,,,
Incoming Message,Pesan baru masuk,module,Magento_AdminNotification,,,,
Last Update,Update terakhir,module,Magento_AdminNotification,,,,
major,major,module,Magento_AdminNotification,,,,
Major System Messages,Major System Messages,module,Magento_AdminNotification,,,,
Mark as Read,Tandai sudah dibaca,module,Magento_AdminNotification,,,,
Message,Pesan,module,Magento_AdminNotification,,,,
Messages Inbox,Pesan Masuk,module,Magento_AdminNotification,,,,
minor,minor,module,Magento_AdminNotification,,,,
notice,pemberitahuan,module,Magento_AdminNotification,,,,
Notifications,Notifikasi,module,Magento_AdminNotification,,,,
One or more of the Cache Types are invalidated: %1.,Salah satu atau banyak dari Cache Types tidak berlaku: %1.,module,Magento_AdminNotification,,,,
"Please go to <a href=""%1"">Cache Management</a> and refresh cache types.","Silakan masuk ke <a href=""%1"">Cache Management</a> dan refresh tipe cache.",module,Magento_AdminNotification,,,,
Please select messages.,Silakan pilih pesan,module,Magento_AdminNotification,,,,
Read Details,Baca Detail,module,Magento_AdminNotification,,,,
Remove,Hilangkan,module,Magento_AdminNotification,,,,
See All (,Lihat semua(,module,Magento_AdminNotification,,,,
Severity,Severity,module,Magento_AdminNotification,,,,
Show List,Lihat Daftar,module,Magento_AdminNotification,,,,
Show Toolbar,Lihat Toolbar,module,Magento_AdminNotification,,,,
Synchronization of media storages has been completed.,Sinkronisasi penyimpanan media sudah lengkap,module,Magento_AdminNotification,,,,
System messages,Pesan sistem,module,Magento_AdminNotification,,,,
System Messages:,Pesan sistem,module,Magento_AdminNotification,,,,
The message has been marked as Read.,Pesan telah ditandai sebagai terbaca,module,Magento_AdminNotification,,,,
The message has been removed.,Pesan telah dihapus,module,Magento_AdminNotification,,,,
Total of %1 record(s) have been removed.,Total dari %1 record(s) telah dihapus,module,Magento_AdminNotification,,,,
unread),tidak terbaca),module,Magento_AdminNotification,,,,
Update Frequency,Frekuensi update,module,Magento_AdminNotification,,,,
Use HTTPS to Get Feed,Use HTTPS to Get Feed,module,Magento_AdminNotification,,,,
We couldn't mark the notification as Read because of an error.,Kami tidak dapat menandai notifikasi telah terbaca karena ada kesalahan ,module,Magento_AdminNotification,,,,
We couldn't remove the messages because of an error.,Kami tidak dapat menghapus pesan karena error,module,Magento_AdminNotification,,,,
We were unable to synchronize one or more media files. Please refer to the log file for details.,We were unable to synchronize one or more media files. Please refer to the log file for details.,module,Magento_AdminNotification,,,,
